date,SHIB,PEPE,BONK,FLOKI,MOG
2023-12-31,2,37,5,1,5
2024-01-07,2,35,5,1,5
2024-01-14,1,35,3,1,5
2024-01-21,1,35,3,1,5
2024-01-28,1,37,3,1,5
2024-02-04,1,34,3,1,5
2024-02-11,1,35,3,1,5
2024-02-18,1,38,3,1,5
2024-02-25,4,44,5,4,4
2024-03-03,10,56,9,8,5
2024-03-10,4,53,6,8,5
2024-03-17,3,42,4,6,4
2024-03-24,3,47,4,5,5
2024-03-31,2,38,3,3,5
2024-04-07,2,37,3,3,4
2024-04-14,2,39,3,3,4
2024-04-21,2,39,4,3,4
2024-04-28,1,44,3,3,5
2024-05-05,1,36,3,2,4
2024-05-12,1,41,3,3,5
2024-05-19,2,44,4,3,5
2024-05-26,2,43,4,4,5
2024-06-02,2,42,3,3,5
2024-06-09,2,51,3,3,5
2024-06-16,2,86,2,2,5
2024-06-23,2,46,2,2,7
2024-06-30,1,100,3,2,8
2024-07-07,1,50,3,2,5
2024-07-14,1,47,3,3,5
2024-07-21,1,46,2,3,4
2024-07-28,1,43,2,2,4
2024-08-04,1,56,2,2,4
2024-08-11,1,43,2,2,4
2024-08-18,1,45,2,2,4
2024-08-25,1,45,2,2,4
2024-09-01,1,40,2,2,4
2024-09-08,1,39,2,2,4
2024-09-15,1,40,2,2,4
2024-09-22,2,40,3,2,4
2024-09-29,1,42,3,2,4
2024-10-06,1,39,2,1,4
2024-10-13,1,37,2,2,4
2024-10-20,1,43,2,1,4
2024-10-27,1,37,2,2,4
2024-11-03,2,37,2,2,4
2024-11-10,4,55,6,4,5
2024-11-17,3,52,7,5,4
2024-11-24,2,52,4,3,4
2024-12-01,4,54,4,3,6
2024-12-08,3,61,3,3,6
2024-12-15,2,52,4,3,5
