date,token_id,price,trading_volume,trend,post_counts
2024-01-01,shiba-inu,1.03310617993975e-05,84700017.37,3,0
2024-01-01,pepe,1.28629405261505e-06,41022505.11,94,0
2024-01-01,bonk,1.33382938733698e-05,90314947.87,10,0
2024-01-01,floki,3.48990169584996e-05,12849626.84,4,0
2024-01-01,mog-coin,4.0117705411126e-08,744240.8037,13,0
2024-01-02,shiba-inu,1.06920965327145e-05,98194114.11,5,0
2024-01-02,pepe,1.40433715870217e-06,46400630.8,84,0
2024-01-02,bonk,1.48243920222378e-05,105564755.8,16,0
2024-01-02,floki,3.66564321658094e-05,14064668.16,4,0
2024-01-02,mog-coin,4.70952711724247e-08,1010326.708,10,0
2024-01-03,shiba-inu,1.0570334111471e-05,173419319.8,4,1
2024-01-03,pepe,1.34143667655425e-06,66702108.41,81,1
2024-01-03,bonk,1.3506670086666e-05,127145495.1,13,1
2024-01-03,floki,3.55428663086402e-05,16897425.46,3,1
2024-01-03,mog-coin,4.26503018661985e-08,979147.9602,11,1
2024-01-04,shiba-inu,9.54518201236347e-06,396481434.0,4,0
2024-01-04,pepe,1.19044134174867e-06,174908908.2,80,0
2024-01-04,bonk,1.15903229260366e-05,130268872.8,10,0
2024-01-04,floki,3.1335679466834e-05,29822510.04,3,0
2024-01-04,mog-coin,3.61693886490594e-08,738923.481,11,0
2024-01-05,shiba-inu,1.00050040566534e-05,181001276.2,3,0
2024-01-05,pepe,1.25868336579728e-06,86784053.19,83,0
2024-01-05,bonk,1.195770087466e-05,101952272.0,10,0
2024-01-05,floki,3.25133552160901e-05,16801629.27,4,0
2024-01-05,mog-coin,4.19278464535664e-08,698030.0362,12,0
2024-01-06,shiba-inu,9.8187119124104e-06,199465372.8,4,0
2024-01-06,pepe,1.19869457329553e-06,66309861.76,97,0
2024-01-06,bonk,1.10897207541565e-05,77255146.74,10,0
2024-01-06,floki,3.16806327778938e-05,14904047.04,4,0
2024-01-06,mog-coin,3.80491625315742e-08,743733.97,14,0
2024-01-07,shiba-inu,9.59344299640803e-06,127081490.5,4,0
2024-01-07,pepe,1.15929100969134e-06,53051557.92,96,0
2024-01-07,bonk,1.07653024493057e-05,78375095.22,8,0
2024-01-07,floki,3.11350638316415e-05,17054958.11,4,0
2024-01-07,mog-coin,3.77749824402797e-08,561237.8477,15,0
2024-01-08,shiba-inu,8.97199016752165e-06,141717902.4,4,0
2024-01-08,pepe,1.10828348608094e-06,59725801.12,75,0
2024-01-08,bonk,1.03076059700926e-05,87610800.48,10,0
2024-01-08,floki,2.91874730439961e-05,10952814.5,3,0
2024-01-08,mog-coin,4.0210066175794e-08,245357.6873,12,0
2024-01-09,shiba-inu,9.57905125485538e-06,230823226.9,4,0
2024-01-09,pepe,1.19374546365743e-06,93693655.24,75,0
2024-01-09,bonk,1.21511724706356e-05,217350969.4,14,0
2024-01-09,floki,3.04780147074386e-05,22104405.96,3,0
2024-01-09,mog-coin,3.94748648180164e-08,756023.4941,13,0
2024-01-10,shiba-inu,9.62374348705542e-06,349250560.4,4,1
2024-01-10,pepe,1.1937372975098e-06,84772587.49,77,1
2024-01-10,bonk,1.40101700296043e-05,447617253.7,15,1
2024-01-10,floki,2.90448557238359e-05,17024373.36,3,1
2024-01-10,mog-coin,4.14245416048523e-08,774151.2148,12,1
2024-01-11,shiba-inu,9.98904040015957e-06,249158048.7,5,0
2024-01-11,pepe,1.32476511388065e-06,211868706.6,94,0
2024-01-11,bonk,1.61356793331368e-05,603470094.6,13,0
2024-01-11,floki,3.16834415046061e-05,20888543.83,3,0
2024-01-11,mog-coin,5.67967447011814e-08,2150718.105,11,0
2024-01-12,shiba-inu,1.01362024572943e-05,297971112.9,4,0
2024-01-12,pepe,1.36746372759353e-06,223727383.0,96,0
2024-01-12,bonk,1.60983729341746e-05,378515109.7,10,0
2024-01-12,floki,3.23742653730073e-05,22492798.4,4,0
2024-01-12,mog-coin,5.64043341442418e-08,1387195.002,13,0
2024-01-13,shiba-inu,9.62770661709975e-06,203113243.2,4,1
2024-01-13,pepe,1.23902945992549e-06,147734887.1,100,1
2024-01-13,bonk,1.37727867925548e-05,223908891.7,9,1
2024-01-13,floki,3.03798181101361e-05,19511804.12,3,1
2024-01-13,mog-coin,4.59634623588843e-08,797400.3388,12,1
2024-01-14,shiba-inu,9.89890820116433e-06,127225576.3,4,1
2024-01-14,pepe,1.25074728158884e-06,68000106.84,91,1
2024-01-14,bonk,1.53927362859929e-05,216595724.8,9,1
2024-01-14,floki,3.09845047607626e-05,10056294.84,4,1
2024-01-14,mog-coin,4.68229402677512e-08,713791.5139,11,1
2024-01-15,shiba-inu,9.6024184384087e-06,115792755.2,3,1
2024-01-15,pepe,1.19854704461482e-06,54234205.25,72,1
